"","Code","DiagnosisType"
"1","A00","Certain infectious and parasitic diseases"
"2","A01","Certain infectious and parasitic diseases"
"3","A02","Certain infectious and parasitic diseases"
"4","A03","Certain infectious and parasitic diseases"
"5","A04","Certain infectious and parasitic diseases"
"6","A05","Certain infectious and parasitic diseases"
"7","A06","Certain infectious and parasitic diseases"
"8","A07","Certain infectious and parasitic diseases"
"9","A08","Certain infectious and parasitic diseases"
"10","A09","Certain infectious and parasitic diseases"
"11","A15","Certain infectious and parasitic diseases"
"12","A17","Certain infectious and parasitic diseases"
"13","A18","Certain infectious and parasitic diseases"
"14","A19","Certain infectious and parasitic diseases"
"15","A20","Certain infectious and parasitic diseases"
"16","A21","Certain infectious and parasitic diseases"
"17","A22","Certain infectious and parasitic diseases"
"18","A23","Certain infectious and parasitic diseases"
"19","A24","Certain infectious and parasitic diseases"
"20","A25","Certain infectious and parasitic diseases"
"21","A26","Certain infectious and parasitic diseases"
"22","A27","Certain infectious and parasitic diseases"
"23","A28","Certain infectious and parasitic diseases"
"24","A30","Certain infectious and parasitic diseases"
"25","A31","Certain infectious and parasitic diseases"
"26","A32","Certain infectious and parasitic diseases"
"27","A33","Certain infectious and parasitic diseases"
"28","A34","Certain infectious and parasitic diseases"
"29","A35","Certain infectious and parasitic diseases"
"30","A36","Certain infectious and parasitic diseases"
"31","A37","Certain infectious and parasitic diseases"
"32","A38","Certain infectious and parasitic diseases"
"33","A39","Certain infectious and parasitic diseases"
"34","A40","Certain infectious and parasitic diseases"
"35","A41","Certain infectious and parasitic diseases"
"36","A42","Certain infectious and parasitic diseases"
"37","A43","Certain infectious and parasitic diseases"
"38","A44","Certain infectious and parasitic diseases"
"39","A46","Certain infectious and parasitic diseases"
"40","A48","Certain infectious and parasitic diseases"
"41","A49","Certain infectious and parasitic diseases"
"42","A50","Certain infectious and parasitic diseases"
"43","A51","Certain infectious and parasitic diseases"
"44","A52","Certain infectious and parasitic diseases"
"45","A53","Certain infectious and parasitic diseases"
"46","A54","Certain infectious and parasitic diseases"
"47","A55","Certain infectious and parasitic diseases"
"48","A56","Certain infectious and parasitic diseases"
"49","A57","Certain infectious and parasitic diseases"
"50","A58","Certain infectious and parasitic diseases"
"51","A59","Certain infectious and parasitic diseases"
"52","A60","Certain infectious and parasitic diseases"
"53","A63","Certain infectious and parasitic diseases"
"54","A64","Certain infectious and parasitic diseases"
"55","A65","Certain infectious and parasitic diseases"
"56","A66","Certain infectious and parasitic diseases"
"57","A67","Certain infectious and parasitic diseases"
"58","A68","Certain infectious and parasitic diseases"
"59","A69","Certain infectious and parasitic diseases"
"60","A70","Certain infectious and parasitic diseases"
"61","A71","Certain infectious and parasitic diseases"
"62","A74","Certain infectious and parasitic diseases"
"63","A75","Certain infectious and parasitic diseases"
"64","A77","Certain infectious and parasitic diseases"
"65","A78","Certain infectious and parasitic diseases"
"66","A79","Certain infectious and parasitic diseases"
"67","A80","Certain infectious and parasitic diseases"
"68","A81","Certain infectious and parasitic diseases"
"69","A82","Certain infectious and parasitic diseases"
"70","A83","Certain infectious and parasitic diseases"
"71","A84","Certain infectious and parasitic diseases"
"72","A85","Certain infectious and parasitic diseases"
"73","A86","Certain infectious and parasitic diseases"
"74","A87","Certain infectious and parasitic diseases"
"75","A88","Certain infectious and parasitic diseases"
"76","A89","Certain infectious and parasitic diseases"
"77","A90","Certain infectious and parasitic diseases"
"78","A91","Certain infectious and parasitic diseases"
"79","A92","Certain infectious and parasitic diseases"
"80","A93","Certain infectious and parasitic diseases"
"81","A94","Certain infectious and parasitic diseases"
"82","A95","Certain infectious and parasitic diseases"
"83","A96","Certain infectious and parasitic diseases"
"84","A98","Certain infectious and parasitic diseases"
"85","A99","Certain infectious and parasitic diseases"
"86","B00","Certain infectious and parasitic diseases"
"87","B01","Certain infectious and parasitic diseases"
"88","B02","Certain infectious and parasitic diseases"
"89","B03","Certain infectious and parasitic diseases"
"90","B04","Certain infectious and parasitic diseases"
"91","B05","Certain infectious and parasitic diseases"
"92","B06","Certain infectious and parasitic diseases"
"93","B07","Certain infectious and parasitic diseases"
"94","B08","Certain infectious and parasitic diseases"
"95","B09","Certain infectious and parasitic diseases"
"96","B10","Certain infectious and parasitic diseases"
"97","B15","Certain infectious and parasitic diseases"
"98","B16","Certain infectious and parasitic diseases"
"99","B17","Certain infectious and parasitic diseases"
"100","B18","Certain infectious and parasitic diseases"
"101","B19","Certain infectious and parasitic diseases"
"102","B20","Certain infectious and parasitic diseases"
"103","B25","Certain infectious and parasitic diseases"
"104","B26","Certain infectious and parasitic diseases"
"105","B27","Certain infectious and parasitic diseases"
"106","B30","Certain infectious and parasitic diseases"
"107","B33","Certain infectious and parasitic diseases"
"108","B34","Certain infectious and parasitic diseases"
"109","B35","Certain infectious and parasitic diseases"
"110","B36","Certain infectious and parasitic diseases"
"111","B37","Certain infectious and parasitic diseases"
"112","B38","Certain infectious and parasitic diseases"
"113","B39","Certain infectious and parasitic diseases"
"114","B40","Certain infectious and parasitic diseases"
"115","B41","Certain infectious and parasitic diseases"
"116","B42","Certain infectious and parasitic diseases"
"117","B43","Certain infectious and parasitic diseases"
"118","B44","Certain infectious and parasitic diseases"
"119","B45","Certain infectious and parasitic diseases"
"120","B46","Certain infectious and parasitic diseases"
"121","B47","Certain infectious and parasitic diseases"
"122","B48","Certain infectious and parasitic diseases"
"123","B49","Certain infectious and parasitic diseases"
"124","B50","Certain infectious and parasitic diseases"
"125","B51","Certain infectious and parasitic diseases"
"126","B52","Certain infectious and parasitic diseases"
"127","B53","Certain infectious and parasitic diseases"
"128","B54","Certain infectious and parasitic diseases"
"129","B55","Certain infectious and parasitic diseases"
"130","B56","Certain infectious and parasitic diseases"
"131","B57","Certain infectious and parasitic diseases"
"132","B58","Certain infectious and parasitic diseases"
"133","B59","Certain infectious and parasitic diseases"
"134","B60","Certain infectious and parasitic diseases"
"135","B64","Certain infectious and parasitic diseases"
"136","B65","Certain infectious and parasitic diseases"
"137","B66","Certain infectious and parasitic diseases"
"138","B67","Certain infectious and parasitic diseases"
"139","B68","Certain infectious and parasitic diseases"
"140","B69","Certain infectious and parasitic diseases"
"141","B70","Certain infectious and parasitic diseases"
"142","B71","Certain infectious and parasitic diseases"
"143","B72","Certain infectious and parasitic diseases"
"144","B73","Certain infectious and parasitic diseases"
"145","B74","Certain infectious and parasitic diseases"
"146","B75","Certain infectious and parasitic diseases"
"147","B76","Certain infectious and parasitic diseases"
"148","B77","Certain infectious and parasitic diseases"
"149","B78","Certain infectious and parasitic diseases"
"150","B79","Certain infectious and parasitic diseases"
"151","B80","Certain infectious and parasitic diseases"
"152","B81","Certain infectious and parasitic diseases"
"153","B82","Certain infectious and parasitic diseases"
"154","B83","Certain infectious and parasitic diseases"
"155","B85","Certain infectious and parasitic diseases"
"156","B86","Certain infectious and parasitic diseases"
"157","B87","Certain infectious and parasitic diseases"
"158","B88","Certain infectious and parasitic diseases"
"159","B89","Certain infectious and parasitic diseases"
"160","B90","Certain infectious and parasitic diseases"
"161","B91","Certain infectious and parasitic diseases"
"162","B92","Certain infectious and parasitic diseases"
"163","B94","Certain infectious and parasitic diseases"
"164","B95","Certain infectious and parasitic diseases"
"165","B96","Certain infectious and parasitic diseases"
"166","B97","Certain infectious and parasitic diseases"
"167","B99","Certain infectious and parasitic diseases"
"168","C00","Neoplasms"
"169","C01","Neoplasms"
"170","C02","Neoplasms"
"171","C03","Neoplasms"
"172","C04","Neoplasms"
"173","C05","Neoplasms"
"174","C06","Neoplasms"
"175","C07","Neoplasms"
"176","C08","Neoplasms"
"177","C09","Neoplasms"
"178","C10","Neoplasms"
"179","C11","Neoplasms"
"180","C12","Neoplasms"
"181","C13","Neoplasms"
"182","C14","Neoplasms"
"183","C15","Neoplasms"
"184","C16","Neoplasms"
"185","C17","Neoplasms"
"186","C18","Neoplasms"
"187","C19","Neoplasms"
"188","C20","Neoplasms"
"189","C21","Neoplasms"
"190","C22","Neoplasms"
"191","C23","Neoplasms"
"192","C24","Neoplasms"
"193","C25","Neoplasms"
"194","C26","Neoplasms"
"195","C30","Neoplasms"
"196","C31","Neoplasms"
"197","C32","Neoplasms"
"198","C33","Neoplasms"
"199","C34","Neoplasms"
"200","C37","Neoplasms"
"201","C38","Neoplasms"
"202","C39","Neoplasms"
"203","C40","Neoplasms"
"204","C41","Neoplasms"
"205","C43","Neoplasms"
"206","C4A","Neoplasms"
"207","C44","Neoplasms"
"208","C45","Neoplasms"
"209","C46","Neoplasms"
"210","C47","Neoplasms"
"211","C48","Neoplasms"
"212","C49","Neoplasms"
"213","C50","Neoplasms"
"214","C51","Neoplasms"
"215","C52","Neoplasms"
"216","C53","Neoplasms"
"217","C54","Neoplasms"
"218","C55","Neoplasms"
"219","C56","Neoplasms"
"220","C57","Neoplasms"
"221","C58","Neoplasms"
"222","C60","Neoplasms"
"223","C61","Neoplasms"
"224","C62","Neoplasms"
"225","C63","Neoplasms"
"226","C64","Neoplasms"
"227","C65","Neoplasms"
"228","C66","Neoplasms"
"229","C67","Neoplasms"
"230","C68","Neoplasms"
"231","C69","Neoplasms"
"232","C70","Neoplasms"
"233","C71","Neoplasms"
"234","C72","Neoplasms"
"235","C73","Neoplasms"
"236","C74","Neoplasms"
"237","C75","Neoplasms"
"238","C7A","Neoplasms"
"239","C7B","Neoplasms"
"240","C76","Neoplasms"
"241","C77","Neoplasms"
"242","C78","Neoplasms"
"243","C79","Neoplasms"
"244","C80","Neoplasms"
"245","C81","Neoplasms"
"246","C82","Neoplasms"
"247","C83","Neoplasms"
"248","C84","Neoplasms"
"249","C85","Neoplasms"
"250","C86","Neoplasms"
"251","C88","Neoplasms"
"252","C90","Neoplasms"
"253","C91","Neoplasms"
"254","C92","Neoplasms"
"255","C93","Neoplasms"
"256","C94","Neoplasms"
"257","C95","Neoplasms"
"258","C96","Neoplasms"
"259","D00","Neoplasms"
"260","D01","Neoplasms"
"261","D02","Neoplasms"
"262","D03","Neoplasms"
"263","D04","Neoplasms"
"264","D05","Neoplasms"
"265","D06","Neoplasms"
"266","D07","Neoplasms"
"267","D09","Neoplasms"
"268","D10","Neoplasms"
"269","D11","Neoplasms"
"270","D12","Neoplasms"
"271","D13","Neoplasms"
"272","D14","Neoplasms"
"273","D15","Neoplasms"
"274","D16","Neoplasms"
"275","D17","Neoplasms"
"276","D18","Neoplasms"
"277","D19","Neoplasms"
"278","D20","Neoplasms"
"279","D21","Neoplasms"
"280","D22","Neoplasms"
"281","D23","Neoplasms"
"282","D24","Neoplasms"
"283","D25","Neoplasms"
"284","D26","Neoplasms"
"285","D27","Neoplasms"
"286","D28","Neoplasms"
"287","D29","Neoplasms"
"288","D30","Neoplasms"
"289","D31","Neoplasms"
"290","D32","Neoplasms"
"291","D33","Neoplasms"
"292","D34","Neoplasms"
"293","D35","Neoplasms"
"294","D36","Neoplasms"
"295","D3A","Neoplasms"
"296","D37","Neoplasms"
"297","D38","Neoplasms"
"298","D39","Neoplasms"
"299","D40","Neoplasms"
"300","D41","Neoplasms"
"301","D42","Neoplasms"
"302","D43","Neoplasms"
"303","D44","Neoplasms"
"304","D45","Neoplasms"
"305","D46","Neoplasms"
"306","D47","Neoplasms"
"307","D48","Neoplasms"
"308","D49","Neoplasms"
"309","D50","Diseases of the blood and immune system"
"310","D51","Diseases of the blood and immune system"
"311","D52","Diseases of the blood and immune system"
"312","D53","Diseases of the blood and immune system"
"313","D55","Diseases of the blood and immune system"
"314","D56","Diseases of the blood and immune system"
"315","D57","Diseases of the blood and immune system"
"316","D58","Diseases of the blood and immune system"
"317","D59","Diseases of the blood and immune system"
"318","D60","Diseases of the blood and immune system"
"319","D61","Diseases of the blood and immune system"
"320","D62","Diseases of the blood and immune system"
"321","D63","Diseases of the blood and immune system"
"322","D64","Diseases of the blood and immune system"
"323","D65","Diseases of the blood and immune system"
"324","D66","Diseases of the blood and immune system"
"325","D67","Diseases of the blood and immune system"
"326","D68","Diseases of the blood and immune system"
"327","D69","Diseases of the blood and immune system"
"328","D70","Diseases of the blood and immune system"
"329","D71","Diseases of the blood and immune system"
"330","D72","Diseases of the blood and immune system"
"331","D73","Diseases of the blood and immune system"
"332","D74","Diseases of the blood and immune system"
"333","D75","Diseases of the blood and immune system"
"334","D76","Diseases of the blood and immune system"
"335","D77","Diseases of the blood and immune system"
"336","D78","Diseases of the blood and immune system"
"337","D80","Diseases of the blood and immune system"
"338","D81","Diseases of the blood and immune system"
"339","D82","Diseases of the blood and immune system"
"340","D83","Diseases of the blood and immune system"
"341","D84","Diseases of the blood and immune system"
"342","D86","Diseases of the blood and immune system"
"343","D89","Diseases of the blood and immune system"
"344","E00","Endocrine, nutritional and metabolic diseases"
"345","E01","Endocrine, nutritional and metabolic diseases"
"346","E02","Endocrine, nutritional and metabolic diseases"
"347","E03","Endocrine, nutritional and metabolic diseases"
"348","E04","Endocrine, nutritional and metabolic diseases"
"349","E05","Endocrine, nutritional and metabolic diseases"
"350","E06","Endocrine, nutritional and metabolic diseases"
"351","E07","Endocrine, nutritional and metabolic diseases"
"352","E08","Endocrine, nutritional and metabolic diseases"
"353","E09","Endocrine, nutritional and metabolic diseases"
"354","E10","Endocrine, nutritional and metabolic diseases"
"355","E11","Endocrine, nutritional and metabolic diseases"
"356","E13","Endocrine, nutritional and metabolic diseases"
"357","E15","Endocrine, nutritional and metabolic diseases"
"358","E16","Endocrine, nutritional and metabolic diseases"
"359","E20","Endocrine, nutritional and metabolic diseases"
"360","E21","Endocrine, nutritional and metabolic diseases"
"361","E22","Endocrine, nutritional and metabolic diseases"
"362","E23","Endocrine, nutritional and metabolic diseases"
"363","E24","Endocrine, nutritional and metabolic diseases"
"364","E25","Endocrine, nutritional and metabolic diseases"
"365","E26","Endocrine, nutritional and metabolic diseases"
"366","E27","Endocrine, nutritional and metabolic diseases"
"367","E28","Endocrine, nutritional and metabolic diseases"
"368","E29","Endocrine, nutritional and metabolic diseases"
"369","E30","Endocrine, nutritional and metabolic diseases"
"370","E31","Endocrine, nutritional and metabolic diseases"
"371","E32","Endocrine, nutritional and metabolic diseases"
"372","E34","Endocrine, nutritional and metabolic diseases"
"373","E35","Endocrine, nutritional and metabolic diseases"
"374","E36","Endocrine, nutritional and metabolic diseases"
"375","E40","Endocrine, nutritional and metabolic diseases"
"376","E41","Endocrine, nutritional and metabolic diseases"
"377","E42","Endocrine, nutritional and metabolic diseases"
"378","E43","Endocrine, nutritional and metabolic diseases"
"379","E44","Endocrine, nutritional and metabolic diseases"
"380","E45","Endocrine, nutritional and metabolic diseases"
"381","E46","Endocrine, nutritional and metabolic diseases"
"382","E50","Endocrine, nutritional and metabolic diseases"
"383","E51","Endocrine, nutritional and metabolic diseases"
"384","E52","Endocrine, nutritional and metabolic diseases"
"385","E53","Endocrine, nutritional and metabolic diseases"
"386","E54","Endocrine, nutritional and metabolic diseases"
"387","E55","Endocrine, nutritional and metabolic diseases"
"388","E56","Endocrine, nutritional and metabolic diseases"
"389","E58","Endocrine, nutritional and metabolic diseases"
"390","E59","Endocrine, nutritional and metabolic diseases"
"391","E60","Endocrine, nutritional and metabolic diseases"
"392","E61","Endocrine, nutritional and metabolic diseases"
"393","E63","Endocrine, nutritional and metabolic diseases"
"394","E64","Endocrine, nutritional and metabolic diseases"
"395","E65","Endocrine, nutritional and metabolic diseases"
"396","E66","Endocrine, nutritional and metabolic diseases"
"397","E67","Endocrine, nutritional and metabolic diseases"
"398","E68","Endocrine, nutritional and metabolic diseases"
"399","E70","Endocrine, nutritional and metabolic diseases"
"400","E71","Endocrine, nutritional and metabolic diseases"
"401","E72","Endocrine, nutritional and metabolic diseases"
"402","E73","Endocrine, nutritional and metabolic diseases"
"403","E74","Endocrine, nutritional and metabolic diseases"
"404","E75","Endocrine, nutritional and metabolic diseases"
"405","E76","Endocrine, nutritional and metabolic diseases"
"406","E77","Endocrine, nutritional and metabolic diseases"
"407","E78","Endocrine, nutritional and metabolic diseases"
"408","E79","Endocrine, nutritional and metabolic diseases"
"409","E80","Endocrine, nutritional and metabolic diseases"
"410","E83","Endocrine, nutritional and metabolic diseases"
"411","E84","Endocrine, nutritional and metabolic diseases"
"412","E85","Endocrine, nutritional and metabolic diseases"
"413","E86","Endocrine, nutritional and metabolic diseases"
"414","E87","Endocrine, nutritional and metabolic diseases"
"415","E88","Endocrine, nutritional and metabolic diseases"
"416","E89","Endocrine, nutritional and metabolic diseases"
"417","F01","Mental and behavioural disorders"
"418","F02","Mental and behavioural disorders"
"419","F03","Mental and behavioural disorders"
"420","F04","Mental and behavioural disorders"
"421","F05","Mental and behavioural disorders"
"422","F06","Mental and behavioural disorders"
"423","F07","Mental and behavioural disorders"
"424","F09","Mental and behavioural disorders"
"425","F10","Mental and behavioural disorders"
"426","F11","Mental and behavioural disorders"
"427","F12","Mental and behavioural disorders"
"428","F13","Mental and behavioural disorders"
"429","F14","Mental and behavioural disorders"
"430","F15","Mental and behavioural disorders"
"431","F16","Mental and behavioural disorders"
"432","F17","Mental and behavioural disorders"
"433","F18","Mental and behavioural disorders"
"434","F19","Mental and behavioural disorders"
"435","F20","Mental and behavioural disorders"
"436","F21","Mental and behavioural disorders"
"437","F22","Mental and behavioural disorders"
"438","F23","Mental and behavioural disorders"
"439","F24","Mental and behavioural disorders"
"440","F25","Mental and behavioural disorders"
"441","F28","Mental and behavioural disorders"
"442","F29","Mental and behavioural disorders"
"443","F30","Mental and behavioural disorders"
"444","F31","Mental and behavioural disorders"
"445","F32","Mental and behavioural disorders"
"446","F33","Mental and behavioural disorders"
"447","F34","Mental and behavioural disorders"
"448","F39","Mental and behavioural disorders"
"449","F40","Mental and behavioural disorders"
"450","F41","Mental and behavioural disorders"
"451","F42","Mental and behavioural disorders"
"452","F43","Mental and behavioural disorders"
"453","F44","Mental and behavioural disorders"
"454","F45","Mental and behavioural disorders"
"455","F48","Mental and behavioural disorders"
"456","F50","Mental and behavioural disorders"
"457","F51","Mental and behavioural disorders"
"458","F52","Mental and behavioural disorders"
"459","F53","Mental and behavioural disorders"
"460","F54","Mental and behavioural disorders"
"461","F55","Mental and behavioural disorders"
"462","F59","Mental and behavioural disorders"
"463","F60","Mental and behavioural disorders"
"464","F63","Mental and behavioural disorders"
"465","F64","Mental and behavioural disorders"
"466","F65","Mental and behavioural disorders"
"467","F66","Mental and behavioural disorders"
"468","F68","Mental and behavioural disorders"
"469","F69","Mental and behavioural disorders"
"470","F70","Mental and behavioural disorders"
"471","F71","Mental and behavioural disorders"
